Task3,,,,,,
Array size (n),Time (ms),Actual values ->,,,,
5,0.9368696938,,1.91437,,,
6,1.152118504,,2.2224,,,
7,1.119004176,,2.17197,,,
8,0.6442347033,,1.56291,,,
9,0.5968206761,,1.51238,,,
10,0.346440688,,1.27142,,,
11,0.724100153,,1.65187,,,
12,0.8052841998,,1.74749,,,
13,1.011703154,,2.01629,,,
14,0.762459379,,1.69638,,,
15,1.012253999,,2.01706,,,
16,1.066557667,,2.09443,,,
17,0.8232683818,,1.76941,,,
18,0.9472247723,,1.92816,,,
19,1.774156616,,3.42038,,,
20,1.898935806,,3.72938,,,
21,1.945896064,,3.85277,,,
22,2.426592176,,5.37622,,,
23,3.18230615,,9.07757,,,
24,3.942617719,,15.3761,,,
,,,,,,
Task2,,,,,,
Array size (n),Thrust,Cub,HW06,Actual values ->,,
10,-1.845764189,-0.8893107003,3.217841793,0.278208,0.539872,9.30394
11,0.0726546407,-0.4071492878,3.073266694,1.05165,0.754112,8.41677
12,-0.9978779144,-0.5392511465,4.49678189,0.500736,0.688128,22.577
13,1.734213194,0.0727369487,3.725032175,3.32698,1.05171,13.2235
14,-0.9507149629,-1.163384245,3.982464299,0.517376,0.446464,15.8067
15,-1.028345725,-0.0129382239,4.115674187,0.490272,0.991072,17.3357
16,1.300814881,-1.066898769,5.004317111,2.46368,0.477344,32.0959
17,-2.628073193,-1.098876307,2.889103573,0.16176,0.46688,7.4081
18,0.1046855485,-0.5662030041,3.082712807,1.07526,0.675392,8.47206
19,2.463588455,-0.2422803304,3.426358695,5.51587,0.845408,10.7507
20,-0.8701973767,-0.888626756,4.684224036,0.547072,0.540128,25.7094
21,-0.3283479235,-0.9213027319,,0.796448,0.528032,
22,0.8616536962,0.0551678831,,1.81712,1.03898,
23,0.1568884342,0.0128689803,,1.11488,1.00896,
24,0.5511763752,0.9558409757,,1.46528,1.93971,
25,1.63284983,0.8799331296,,3.10125,1.84029,
26,2.31224694,1.833537816,,4.96656,3.5641,
27,2.710406418,2.55027766,,6.54506,5.85747,
28,3.369968931,3.300022659,,10.3386,9.84931,
29,4.262823997,4.220059037,,19.1972,18.6365,
,,,,,,
Task1,,,,,,
Array size (n),Thrust,Cub,HW05,Actual values ->,,
10,-0.7845226804,-0.7732744657,3.641025733,0.580544,0.585088,12.4755
11,0.9893424966,0.8741753028,2.685848226,1.98528,1.83296,6.43459
12,0.9738904206,2.1993237,1.98485909,1.96413,4.59264,3.95824
13,0.510921422,-0.0289108228,1.065634347,1.42496,0.98016,2.09309
14,1.106066856,-0.1024900383,1.059486803,2.15258,0.931424,2.08419
15,-0.3244116668,1.25599615,3.58167663,0.798624,2.38832,11.9727
16,1.699906932,-1.20897447,3.916180432,3.2488,0.432576,15.0969
17,2.805065404,-0.4838395819,2.860599348,6.9889,0.715072,7.26317
18,0.9300257479,2.224098944,3.359900629,1.90531,4.67219,10.2667
19,2.04595663,2.163282956,2.007791118,4.12947,4.47933,4.02166
20,3.128626648,0.5851740805,2.875176521,8.74602,1.50022,7.33693
21,1.641559901,3.330414984,2.863805669,3.12003,10.059,7.27933
22,-0.1378128707,-0.7767504603,2.221873988,0.908896,0.58368,4.66499
23,0.574740949,2.484321196,3.301021285,1.48941,5.59571,9.85613
24,0.9692997124,0.9893642973,4.052789736,1.95789,1.98531,16.5963
25,3.202746816,1.408853135,4.726275389,9.2071,2.65526,26.4698
26,3.125381646,0.6284096683,5.510427137,8.72637,1.54586,45.5831
27,3.01845258,1.737470449,6.485069329,8.10298,3.3345,89.5778
28,3.447063384,2.969192863,7.260985376,10.9061,7.83098,153.382
29,4.153116244,3.201768715,8.221475955,17.7915,9.20086,298.477
30,4.604516165,4.314486268,9.207853817,24.3275,19.8971,591.344
